Current Education Level,Stream / Specialization,Latest Grade / CGPA,Technical / Hard Skills,Soft Skills,Personality Type,"Salary Expectation (Annual, in INR)",Certifications Obtained,Preferred Work Environment,Learning Style,Open to Relocating,Willingness to Pursue Higher Studies,Recommended Career Path
B.Com,Commerce,8.44,"SQL, Financial Modeling","Attention to Detail, Analytical Skills",Ambivert,8-12 LPA,CFA,I prefer working alone,Visual,Maybe,Yes,Financial Analyst
M.Tech,Computer Science,9.92,"Python, Computer Vision, PyTorch, NLP, TensorFlow","Critical Thinking, Research",Introvert,12+ LPA,TensorFlow Developer,I prefer working alone,Read/Write,Yes,Yes,Data Scientist
M.Tech,Computer Science,8.97,"PyTorch, Python, Computer Vision","Research, Critical Thinking",Introvert,12+ LPA,TensorFlow Developer,I prefer working alone,Read/Write,Yes,Yes,AI Specialist
Diploma,Mechanical Engineering,7.1,"SolidWorks, AutoCAD, MATLAB","Problem-Solving, Teamwork",Ambivert,8-12 LPA,No Certification,I prefer working in a team,Kinesthetic,Maybe,Yes,Mechanical Engineer
MBA,Marketing,7.69,"Social Media Management, Google Analytics, Digital Marketing, SEO","Creativity, Communication",Extrovert,12+ LPA,HubSpot Content Marketing,I prefer working in a team,Auditory,Maybe,No,Marketing Manager
Diploma,Mechanical Engineering,7.26,"SolidWorks, MATLAB","Problem-Solving, Teamwork",Ambivert,4-8 LPA,Certified SOLIDWORKS Professional,I prefer working in a team,Kinesthetic,Maybe,Yes,Mechanical Engineer
B.Tech,Computer Science,9.59,"Python, JavaScript","Teamwork, Problem-Solving",Ambivert,12+ LPA,No Certification,I prefer working alone,Visual,Maybe,No,Software Developer
BBA,Marketing,8.09,"Google Analytics, SEO","Leadership, Creativity",Extrovert,12+ LPA,Google Digital Marketing,I prefer working in a team,Auditory,Maybe,No,Marketing Manager
B.Tech,Mechanical Engineering,7.88,"AutoCAD, SolidWorks, MATLAB","Problem-Solving, Teamwork",Ambivert,4-8 LPA,No Certification,I prefer working in a team,Kinesthetic,Yes,Yes,Mechanical Engineer
B.Tech,Computer Science,8.09,"JavaScript, SQL, Java, Python","Problem-Solving, Teamwork",Introvert,8-12 LPA,Coursera - Python for Everybody,I like a mix of both,Kinesthetic,Yes,No,Data Scientist
B.Tech,Graphic Design,7.94,"Sketch, User Research, Adobe XD","Creativity, Empathy",Ambivert,8-12 LPA,Nielsen Norman Group UX Certification,I like a mix of both,Visual,Yes,No,UI/UX Designer
B.Tech,Graphic Design,9.25,"User Research, Sketch, Figma, Adobe XD","Creativity, Problem-Solving",Ambivert,8-12 LPA,No Certification,I like a mix of both,Visual,Yes,No,UI/UX Designer
M.Tech,AI & ML,9.81,"NLP, Computer Vision, Python, TensorFlow","Critical Thinking, Research",Introvert,12+ LPA,Deep Learning Specialization,I prefer working alone,Read/Write,Yes,Yes,AI Specialist
B.Tech,Computer Science,8.77,"Java, Python","Teamwork, Problem-Solving",Ambivert,8-12 LPA,Coursera - Python for Everybody,I like a mix of both,Kinesthetic,Yes,No,Software Developer
B.Des,Fine Arts,8.18,"Adobe Illustrator, Figma","Creativity, Attention to Detail",Ambivert,Less than 4 LPA,No Certification,I prefer working alone,Visual,No,Yes,Graphic Designer
MBA,Marketing,7.33,"Google Analytics, Digital Marketing, Social Media Management","Leadership, Creativity",Extrovert,8-12 LPA,HubSpot Content Marketing,I prefer working in a team,Auditory,Maybe,No,Marketing Manager
B.Des,Human-Computer Interaction,7.99,"Sketch, Figma, User Research","Creativity, Problem-Solving",Ambivert,12+ LPA,No Certification,I like a mix of both,Kinesthetic,Yes,No,Graphic Designer
MBA,Business Administration,8.0,"SEO, Digital Marketing, Google Analytics, Social Media Management","Leadership, Creativity",Extrovert,8-12 LPA,HubSpot Content Marketing,I prefer working in a team,Visual,Maybe,No,Marketing Manager
B.Tech,Computer Science,8.59,"JavaScript, Java, Git, Python, SQL","Problem-Solving, Teamwork",Introvert,12+ LPA,No Certification,I like a mix of both,Kinesthetic,Maybe,No,Software Developer
B.Tech,Computer Science,8.67,"SQL, Python, JavaScript","Teamwork, Problem-Solving",Ambivert,8-12 LPA,Coursera - Python for Everybody,I like a mix of both,Kinesthetic,Maybe,No,Software Developer
MBA,Commerce,8.01,"MS Excel, Financial Modeling","Analytical Skills, Attention to Detail",Ambivert,4-8 LPA,CFA,I prefer working alone,Read/Write,Maybe,Yes,Financial Analyst
M.Tech,Computer Science,9.59,"NLP, PyTorch, Python, TensorFlow","Research, Critical Thinking",Introvert,12+ LPA,Deep Learning Specialization,I prefer working alone,Read/Write,Yes,Yes,Data Scientist
MBA,Marketing,8.54,"Google Analytics, Social Media Management, SEO","Communication, Creativity",Extrovert,12+ LPA,HubSpot Content Marketing,I prefer working in a team,Visual,Yes,No,Marketing Manager
B.A.,Graphic Design,8.81,"Adobe Photoshop, Adobe Illustrator, Figma","Attention to Detail, Creativity",Ambivert,Less than 4 LPA,Adobe Certified Expert (ACE),I prefer working alone,Visual,No,No,Graphic Designer
B.Tech,Mechanical Engineering,7.23,"MATLAB, SolidWorks","Teamwork, Problem-Solving",Ambivert,4-8 LPA,No Certification,I prefer working in a team,Kinesthetic,Yes,Yes,Mechanical Engineer
MBA,Business Administration,8.38,"Digital Marketing, Google Analytics","Communication, Creativity",Extrovert,8-12 LPA,Google Digital Marketing,I prefer working in a team,Auditory,Yes,No,Marketing Manager
B.Des,Human-Computer Interaction,7.87,"User Research, Adobe XD, Sketch","Problem-Solving, Creativity",Ambivert,12+ LPA,No Certification,I like a mix of both,Kinesthetic,Yes,No,UI/UX Designer
BBA,Business Administration,8.38,"Social Media Management, Digital Marketing, Google Analytics, SEO","Communication, Creativity",Extrovert,8-12 LPA,Google Digital Marketing,I prefer working in a team,Visual,Yes,No,Marketing Manager
B.A.,Graphic Design,8.67,"Adobe Illustrator, Figma","Creativity, Attention to Detail",Introvert,Less than 4 LPA,No Certification,I like a mix of both,Kinesthetic,No,No,UI/UX Designer
MBA,Commerce,7.99,"Financial Modeling, SQL","Attention to Detail, Analytical Skills",Ambivert,8-12 LPA,No Certification,I prefer working alone,Visual,No,Yes,Business Analyst
M.Tech,Computer Science,9.15,"Python, Computer Vision, NLP, PyTorch","Research, Critical Thinking",Introvert,12+ LPA,Deep Learning Specialization,I prefer working alone,Read/Write,Yes,Yes,AI Specialist
M.Tech,AI & ML,9.16,"TensorFlow, Computer Vision, NLP, Python","Research, Critical Thinking",Introvert,12+ LPA,TensorFlow Developer,I prefer working alone,Read/Write,Yes,Yes,AI Specialist
M.Tech,Computer Science,8.86,"Scikit-learn, R, TensorFlow, Python","Critical Thinking, Problem-Solving",Introvert,8-12 LPA,Google Data Analytics,I prefer working alone,Read/Write,Yes,Yes,Data Scientist
M.Tech,Computer Science,8.99,"TensorFlow, Python, NLP, Computer Vision","Research, Critical Thinking",Introvert,12+ LPA,TensorFlow Developer,I prefer working alone,Read/Write,Yes,Yes,Data Scientist
M.Tech,Computer Science,9.12,"NLP, Computer Vision, PyTorch, Python","Research, Critical Thinking",Introvert,12+ LPA,TensorFlow Developer,I prefer working alone,Read/Write,Yes,Yes,AI Specialist
B.Des,Graphic Design,7.07,"Figma, Adobe Illustrator","Attention to Detail, Creativity",Introvert,Less than 4 LPA,No Certification,I like a mix of both,Kinesthetic,No,No,Graphic Designer
B.Des,Graphic Design,8.45,"Adobe Illustrator, Adobe Photoshop","Creativity, Attention to Detail",Introvert,Less than 4 LPA,No Certification,I like a mix of both,Visual,No,No,UI/UX Designer
M.Tech,AI & ML,9.41,"Computer Vision, TensorFlow, PyTorch, NLP, Python","Critical Thinking, Research",Introvert,12+ LPA,TensorFlow Developer,I prefer working alone,Read/Write,Yes,Yes,AI Specialist
M.Tech,Data Science,9.39,"SQL, R, Scikit-learn, Python, TensorFlow","Critical Thinking, Problem-Solving",Ambivert,8-12 LPA,Google Data Analytics,I prefer working alone,Read/Write,Yes,No,Data Scientist
MBA,Finance,8.73,"Financial Modeling, MS Excel, SQL","Attention to Detail, Analytical Skills",Ambivert,8-12 LPA,CFA,I prefer working alone,Visual,Maybe,Yes,Business Analyst
B.Tech,Computer Science,9.87,"TensorFlow, Scikit-learn, SQL, R","Critical Thinking, Problem-Solving",Introvert,12+ LPA,IBM Data Science,I prefer working alone,Read/Write,Yes,No,Data Scientist
MBA,Finance,8.07,"Financial Modeling, Tableau, MS Excel, SQL","Attention to Detail, Analytical Skills",Ambivert,8-12 LPA,No Certification,I prefer working alone,Read/Write,Maybe,No,Financial Analyst
BBA,Marketing,8.02,"Google Analytics, Social Media Management, Digital Marketing, SEO","Communication, Creativity",Extrovert,8-12 LPA,Google Digital Marketing,I prefer working in a team,Auditory,Maybe,No,Marketing Manager
B.Tech,Mechanical Engineering,7.78,"AutoCAD, MATLAB","Teamwork, Problem-Solving",Ambivert,4-8 LPA,No Certification,I prefer working in a team,Kinesthetic,Maybe,Yes,Mechanical Engineer
B.A.,Graphic Design,8.3,"Adobe Photoshop, Figma, Adobe Illustrator","Attention to Detail, Creativity",Ambivert,4-8 LPA,Adobe Certified Expert (ACE),I like a mix of both,Kinesthetic,No,No,Graphic Designer
B.Des,Fine Arts,8.31,"Adobe Illustrator, Figma, Adobe Photoshop","Creativity, Attention to Detail",Ambivert,Less than 4 LPA,Adobe Certified Expert (ACE),I prefer working alone,Kinesthetic,No,Yes,Graphic Designer
M.Tech,Computer Science,8.57,"TensorFlow, Scikit-learn, Python","Problem-Solving, Critical Thinking",Ambivert,8-12 LPA,IBM Data Science,I prefer working alone,Visual,Yes,No,Data Scientist
B.Com,Commerce,9.09,"SQL, Tableau","Attention to Detail, Analytical Skills",Ambivert,8-12 LPA,CFA,I prefer working alone,Read/Write,No,Yes,Financial Analyst
Diploma,Mechanical Engineering,7.42,"SolidWorks, AutoCAD, MATLAB","Problem-Solving, Teamwork",Ambivert,4-8 LPA,Certified SOLIDWORKS Professional,I prefer working in a team,Kinesthetic,Yes,Yes,Mechanical Engineer
M.Tech,AI & ML,9.91,"Python, Computer Vision, PyTorch, NLP","Research, Critical Thinking",Introvert,12+ LPA,TensorFlow Developer,I prefer working alone,Read/Write,Yes,Yes,AI Specialist
B.Des,Fine Arts,6.74,"Figma, Adobe Photoshop, Adobe Illustrator","Attention to Detail, Creativity",Introvert,Less than 4 LPA,Adobe Certified Expert (ACE),I like a mix of both,Kinesthetic,No,Yes,UI/UX Designer
MBA,Finance,8.0,"Financial Modeling, SQL","Analytical Skills, Attention to Detail",Extrovert,4-8 LPA,CFA,I prefer working alone,Read/Write,No,No,Financial Analyst
B.Des,Human-Computer Interaction,8.84,"Figma, User Research","Problem-Solving, Empathy",Ambivert,12+ LPA,No Certification,I like a mix of both,Kinesthetic,Yes,No,UI/UX Designer
B.Des,Human-Computer Interaction,9.01,"Figma, User Research, Adobe XD","Empathy, Problem-Solving",Ambivert,12+ LPA,Nielsen Norman Group UX Certification,I like a mix of both,Visual,No,No,UI/UX Designer
B.Com,Commerce,8.32,"Financial Modeling, Tableau","Analytical Skills, Attention to Detail",Ambivert,4-8 LPA,No Certification,I prefer working alone,Read/Write,Maybe,Yes,Financial Analyst
M.Tech,AI & ML,9.1,"TensorFlow, Python, Computer Vision, PyTorch, NLP","Critical Thinking, Research",Introvert,12+ LPA,Deep Learning Specialization,I prefer working alone,Read/Write,Yes,Yes,AI Specialist
B.Tech,Data Science,9.78,"SQL, Python, Scikit-learn","Critical Thinking, Problem-Solving",Introvert,8-12 LPA,IBM Data Science,I prefer working alone,Visual,Yes,Yes,Data Scientist
Diploma,Mechanical Engineering,7.77,"AutoCAD, MATLAB","Teamwork, Problem-Solving",Ambivert,4-8 LPA,Certified SOLIDWORKS Professional,I prefer working in a team,Kinesthetic,Maybe,Yes,Mechanical Engineer
M.Tech,AI & ML,9.39,"PyTorch, TensorFlow, Python, NLP","Research, Critical Thinking",Introvert,12+ LPA,TensorFlow Developer,I prefer working alone,Read/Write,Yes,Yes,AI Specialist
BBA,Business Administration,7.14,"Social Media Management, Digital Marketing, SEO, Google Analytics","Leadership, Communication",Extrovert,12+ LPA,Google Digital Marketing,I prefer working in a team,Auditory,Maybe,No,Marketing Manager
M.Tech,Data Science,9.2,"R, Python","Critical Thinking, Problem-Solving",Introvert,8-12 LPA,IBM Data Science,I prefer working alone,Read/Write,Yes,No,Data Scientist
B.Com,Commerce,8.42,"MS Excel, Tableau, SQL","Attention to Detail, Analytical Skills",Extrovert,4-8 LPA,CFA,I prefer working alone,Visual,Maybe,Yes,Financial Analyst
BBA,Business Administration,7.55,"Google Analytics, SEO","Creativity, Communication",Extrovert,8-12 LPA,HubSpot Content Marketing,I prefer working in a team,Visual,Yes,No,Marketing Manager
B.Tech,Computer Science,8.71,"Python, SQL, Git, Java, JavaScript","Problem-Solving, Teamwork",Introvert,8-12 LPA,Coursera - Python for Everybody,I like a mix of both,Kinesthetic,Yes,No,Software Developer
B.Tech,Computer Science,8.12,"Python, JavaScript, SQL, Git, Java","Problem-Solving, Teamwork",Introvert,8-12 LPA,Coursera - Python for Everybody,I like a mix of both,Visual,Maybe,No,Software Developer
B.Tech,Mechanical Engineering,8.63,"MATLAB, SolidWorks","Teamwork, Problem-Solving",Ambivert,8-12 LPA,No Certification,I prefer working in a team,Kinesthetic,Maybe,Yes,Mechanical Engineer
B.Tech,Computer Science,8.58,"Python, JavaScript, Java","Teamwork, Problem-Solving",Introvert,12+ LPA,No Certification,I prefer working alone,Kinesthetic,Maybe,No,Software Developer
B.Tech,Graphic Design,8.17,"Sketch, Figma, User Research, Adobe XD","Creativity, Problem-Solving",Ambivert,8-12 LPA,No Certification,I like a mix of both,Visual,No,No,UI/UX Designer
MBA,Finance,9.11,"MS Excel, Tableau","Attention to Detail, Analytical Skills",Ambivert,8-12 LPA,No Certification,I prefer working alone,Visual,No,Yes,Financial Analyst
B.Tech,Human-Computer Interaction,8.08,"Figma, Adobe XD, User Research, Sketch","Creativity, Problem-Solving",Ambivert,12+ LPA,Nielsen Norman Group UX Certification,I like a mix of both,Visual,No,No,UI/UX Designer
BBA,Business Administration,7.57,"Google Analytics, Digital Marketing, Social Media Management","Leadership, Communication",Extrovert,8-12 LPA,HubSpot Content Marketing,I prefer working in a team,Auditory,Maybe,No,Marketing Manager
B.Tech,Computer Science,8.34,"Python, Git, Java, JavaScript, SQL","Problem-Solving, Teamwork",Introvert,8-12 LPA,No Certification,I prefer working alone,Kinesthetic,Maybe,No,Software Developer
B.Des,Fine Arts,7.27,"Figma, Adobe Illustrator","Creativity, Attention to Detail",Introvert,4-8 LPA,No Certification,I like a mix of both,Visual,No,Yes,Graphic Designer
B.Com,Finance,9.08,"Financial Modeling, Tableau, MS Excel","Attention to Detail, Analytical Skills",Extrovert,8-12 LPA,No Certification,I prefer working alone,Visual,No,Yes,Business Analyst
M.Tech,Computer Science,9.15,"Python, Scikit-learn, R, TensorFlow, SQL","Critical Thinking, Problem-Solving",Ambivert,8-12 LPA,IBM Data Science,I prefer working alone,Read/Write,Yes,Yes,AI Specialist
B.Des,Fine Arts,8.64,"Adobe Illustrator, Figma","Creativity, Attention to Detail",Introvert,Less than 4 LPA,No Certification,I prefer working alone,Kinesthetic,No,Yes,UI/UX Designer
MBA,Commerce,7.75,"Tableau, Financial Modeling, MS Excel","Attention to Detail, Analytical Skills",Ambivert,4-8 LPA,No Certification,I prefer working alone,Visual,Maybe,Yes,Business Analyst
BBA,Business Administration,7.37,"Social Media Management, Digital Marketing, Google Analytics, SEO","Communication, Leadership",Extrovert,8-12 LPA,Google Digital Marketing,I prefer working in a team,Visual,Maybe,No,Marketing Manager
B.Com,Commerce,7.66,"MS Excel, Tableau, SQL","Attention to Detail, Analytical Skills",Ambivert,4-8 LPA,No Certification,I prefer working alone,Read/Write,No,No,Financial Analyst
B.Tech,Computer Science,9.38,"Git, Java, JavaScript, SQL","Problem-Solving, Teamwork",Introvert,8-12 LPA,No Certification,I like a mix of both,Visual,Maybe,No,Software Developer
B.A.,Graphic Design,8.05,"Figma, Adobe Illustrator, Adobe Photoshop","Attention to Detail, Creativity",Introvert,Less than 4 LPA,No Certification,I prefer working alone,Kinesthetic,No,No,Graphic Designer
B.Tech,Mechanical Engineering,8.71,"AutoCAD, MATLAB","Teamwork, Problem-Solving",Ambivert,8-12 LPA,No Certification,I prefer working in a team,Kinesthetic,Maybe,Yes,Civil Engineer
B.Tech,Computer Science,9.02,"JavaScript, Git, Java","Teamwork, Problem-Solving",Introvert,8-12 LPA,No Certification,I like a mix of both,Kinesthetic,Maybe,No,Software Developer
M.Tech,Computer Science,9.75,"Python, TensorFlow, Computer Vision, NLP","Research, Critical Thinking",Introvert,12+ LPA,Deep Learning Specialization,I prefer working alone,Read/Write,Yes,Yes,AI Specialist
B.Tech,Computer Science,9.01,"Python, Git, SQL, JavaScript, Java","Teamwork, Problem-Solving",Ambivert,12+ LPA,Coursera - Python for Everybody,I prefer working alone,Visual,Yes,No,Software Developer
Diploma,Mechanical Engineering,8.68,"MATLAB, SolidWorks, AutoCAD","Problem-Solving, Teamwork",Ambivert,4-8 LPA,No Certification,I prefer working in a team,Kinesthetic,Maybe,Yes,Mechanical Engineer
M.Tech,Computer Science,8.99,"Python, Computer Vision","Critical Thinking, Research",Introvert,12+ LPA,TensorFlow Developer,I prefer working alone,Read/Write,Yes,Yes,AI Specialist
M.Tech,Computer Science,9.66,"Computer Vision, Python, NLP, PyTorch, TensorFlow","Critical Thinking, Research",Introvert,12+ LPA,Deep Learning Specialization,I prefer working alone,Read/Write,Yes,Yes,AI Specialist
B.Tech,Human-Computer Interaction,8.09,"User Research, Adobe XD","Creativity, Problem-Solving",Ambivert,12+ LPA,Nielsen Norman Group UX Certification,I like a mix of both,Kinesthetic,No,No,UI/UX Designer
B.Tech,Graphic Design,7.55,"Figma, Sketch","Empathy, Creativity",Ambivert,12+ LPA,Nielsen Norman Group UX Certification,I like a mix of both,Visual,No,No,UI/UX Designer
B.Tech,Computer Science,8.74,"Git, Python","Problem-Solving, Teamwork",Introvert,12+ LPA,Coursera - Python for Everybody,I prefer working alone,Kinesthetic,Yes,No,Software Developer
M.Tech,Computer Science,9.08,"Python, PyTorch","Research, Critical Thinking",Introvert,12+ LPA,Deep Learning Specialization,I prefer working alone,Read/Write,Yes,Yes,AI Specialist
MBA,Marketing,7.51,"Google Analytics, Digital Marketing, Social Media Management","Creativity, Leadership",Extrovert,8-12 LPA,Google Digital Marketing,I prefer working in a team,Visual,Yes,No,Social Media Manager
MBA,Finance,7.52,"Tableau, Financial Modeling","Attention to Detail, Analytical Skills",Extrovert,8-12 LPA,CFA,I prefer working alone,Visual,Maybe,No,Financial Analyst
B.Tech,Mechanical Engineering,8.98,"AutoCAD, SolidWorks","Problem-Solving, Teamwork",Ambivert,8-12 LPA,No Certification,I prefer working in a team,Kinesthetic,Maybe,Yes,Civil Engineer
M.Tech,Computer Science,9.23,"Python, SQL, TensorFlow, R, Scikit-learn","Critical Thinking, Problem-Solving",Introvert,8-12 LPA,IBM Data Science,I prefer working alone,Visual,Yes,No,Data Scientist
B.Com,Commerce,8.96,"Tableau, MS Excel, Financial Modeling, SQL","Analytical Skills, Attention to Detail",Extrovert,4-8 LPA,No Certification,I prefer working alone,Visual,No,No,Financial Analyst
B.A.,Graphic Design,7.9,"Figma, Adobe Photoshop, Adobe Illustrator","Attention to Detail, Creativity",Introvert,Less than 4 LPA,Adobe Certified Expert (ACE),I prefer working alone,Visual,No,No,Graphic Designer
M.Tech,Computer Science,9.95,"NLP, TensorFlow, Python","Research, Critical Thinking",Introvert,12+ LPA,Deep Learning Specialization,I prefer working alone,Read/Write,Yes,Yes,AI Specialist
B.Des,Graphic Design,8.38,"Adobe Photoshop, Adobe Illustrator","Creativity, Attention to Detail",Ambivert,4-8 LPA,No Certification,I prefer working alone,Visual,No,No,Graphic Designer
B.Tech,Computer Science,9.62,"Scikit-learn, TensorFlow, Python, R, SQL","Critical Thinking, Problem-Solving",Ambivert,12+ LPA,Google Data Analytics,I prefer working alone,Read/Write,Yes,No,Data Scientist
B.Tech,Computer Science,8.3,"Java, SQL, Git, JavaScript","Problem-Solving, Teamwork",Introvert,8-12 LPA,No Certification,I like a mix of both,Kinesthetic,Yes,No,Software Developer
MBA,Commerce,8.99,"Tableau, MS Excel, SQL, Financial Modeling","Attention to Detail, Analytical Skills",Ambivert,8-12 LPA,CFA,I prefer working alone,Read/Write,No,No,Financial Analyst
B.Com,Finance,8.63,"MS Excel, SQL, Financial Modeling, Tableau","Attention to Detail, Analytical Skills",Extrovert,8-12 LPA,CFA,I prefer working alone,Visual,Maybe,No,Financial Analyst
B.A.,Graphic Design,7.68,"Adobe Photoshop, Figma","Creativity, Attention to Detail",Ambivert,4-8 LPA,No Certification,I prefer working alone,Kinesthetic,No,No,Graphic Designer
B.Tech,Computer Science,9.65,"SQL, Git","Problem-Solving, Teamwork",Introvert,12+ LPA,No Certification,I like a mix of both,Kinesthetic,Yes,No,Software Developer
B.Des,Graphic Design,8.79,"Adobe Illustrator, Figma","Attention to Detail, Creativity",Introvert,Less than 4 LPA,Adobe Certified Expert (ACE),I prefer working alone,Kinesthetic,No,Yes,Graphic Designer
B.Tech,Mechanical Engineering,8.74,"MATLAB, AutoCAD","Problem-Solving, Teamwork",Ambivert,8-12 LPA,Certified SOLIDWORKS Professional,I prefer working in a team,Kinesthetic,Maybe,Yes,Mechanical Engineer
M.Tech,Data Science,8.59,"SQL, R, Python","Problem-Solving, Critical Thinking",Ambivert,8-12 LPA,IBM Data Science,I prefer working alone,Visual,Yes,No,Data Scientist
B.Tech,Graphic Design,8.67,"Sketch, Figma","Creativity, Problem-Solving",Ambivert,12+ LPA,No Certification,I like a mix of both,Visual,Yes,No,UI/UX Designer
BBA,Marketing,8.15,"Digital Marketing, Social Media Management, Google Analytics","Communication, Leadership",Extrovert,12+ LPA,Google Digital Marketing,I prefer working in a team,Visual,Yes,No,Marketing Manager
B.Com,Commerce,8.76,"SQL, MS Excel, Financial Modeling","Analytical Skills, Attention to Detail",Ambivert,4-8 LPA,No Certification,I prefer working alone,Read/Write,No,Yes,Financial Analyst
B.Des,Graphic Design,7.91,"Adobe XD, Sketch","Problem-Solving, Empathy",Ambivert,8-12 LPA,Nielsen Norman Group UX Certification,I like a mix of both,Visual,No,No,UI/UX Designer
B.Des,Human-Computer Interaction,8.73,"Figma, Adobe XD, Sketch, User Research","Problem-Solving, Empathy",Ambivert,12+ LPA,No Certification,I like a mix of both,Kinesthetic,No,No,UI/UX Designer
B.Tech,Computer Science,8.61,"Git, Java, Python, SQL","Problem-Solving, Teamwork",Ambivert,8-12 LPA,No Certification,I prefer working alone,Kinesthetic,Yes,No,Software Developer
M.Tech,Computer Science,9.86,"TensorFlow, NLP, Computer Vision, PyTorch","Research, Critical Thinking",Introvert,12+ LPA,TensorFlow Developer,I prefer working alone,Read/Write,Yes,Yes,AI Specialist
MBA,Marketing,7.08,"Google Analytics, Digital Marketing, SEO","Creativity, Communication",Extrovert,12+ LPA,HubSpot Content Marketing,I prefer working in a team,Visual,Yes,No,Marketing Manager
B.Des,Fine Arts,7.98,"Figma, Adobe Illustrator","Attention to Detail, Creativity",Introvert,Less than 4 LPA,Adobe Certified Expert (ACE),I prefer working alone,Visual,No,Yes,Graphic Designer
M.Tech,AI & ML,9.48,"Python, PyTorch, TensorFlow, Computer Vision","Critical Thinking, Research",Introvert,12+ LPA,TensorFlow Developer,I prefer working alone,Read/Write,Yes,Yes,AI Specialist
M.Tech,Computer Science,9.02,"TensorFlow, Computer Vision","Critical Thinking, Research",Introvert,12+ LPA,TensorFlow Developer,I prefer working alone,Read/Write,Yes,Yes,AI Specialist
B.Tech,Computer Science,9.11,"Scikit-learn, TensorFlow","Problem-Solving, Critical Thinking",Ambivert,12+ LPA,Google Data Analytics,I prefer working alone,Visual,Yes,No,Data Scientist
Diploma,Mechanical Engineering,8.46,"MATLAB, SolidWorks","Teamwork, Problem-Solving",Ambivert,4-8 LPA,No Certification,I prefer working in a team,Kinesthetic,Yes,Yes,Mechanical Engineer
MBA,Marketing,8.12,"SEO, Digital Marketing, Google Analytics, Social Media Management","Leadership, Creativity",Extrovert,12+ LPA,HubSpot Content Marketing,I prefer working in a team,Auditory,Yes,No,Marketing Manager
M.Tech,AI & ML,9.29,"Python, Computer Vision, PyTorch, NLP","Critical Thinking, Research",Introvert,12+ LPA,Deep Learning Specialization,I prefer working alone,Read/Write,Yes,Yes,AI Specialist
MBA,Commerce,9.16,"Tableau, SQL, MS Excel, Financial Modeling","Attention to Detail, Analytical Skills",Ambivert,8-12 LPA,CFA,I prefer working alone,Read/Write,No,Yes,Financial Analyst
B.Tech,Data Science,9.08,"Python, SQL, R, Scikit-learn, TensorFlow","Problem-Solving, Critical Thinking",Introvert,12+ LPA,Google Data Analytics,I prefer working alone,Visual,Yes,No,AI Specialist
B.Tech,Computer Science,8.24,"JavaScript, SQL, Git, Java","Problem-Solving, Teamwork",Ambivert,8-12 LPA,Coursera - Python for Everybody,I like a mix of both,Visual,Maybe,No,Data Scientist
B.A.,Fine Arts,8.2,"Adobe Illustrator, Adobe Photoshop","Attention to Detail, Creativity",Ambivert,Less than 4 LPA,Adobe Certified Expert (ACE),I prefer working alone,Kinesthetic,No,Yes,Graphic Designer
B.Des,Graphic Design,8.63,"User Research, Sketch, Adobe XD, Figma","Creativity, Empathy",Ambivert,12+ LPA,No Certification,I like a mix of both,Kinesthetic,Yes,No,Graphic Designer
BBA,Business Administration,7.19,"Google Analytics, Digital Marketing, Social Media Management","Leadership, Communication",Extrovert,8-12 LPA,HubSpot Content Marketing,I prefer working in a team,Auditory,Yes,No,Marketing Manager
B.Tech,Data Science,9.36,"R, TensorFlow, Scikit-learn, SQL","Problem-Solving, Critical Thinking",Ambivert,12+ LPA,Google Data Analytics,I prefer working alone,Visual,Yes,Yes,Data Scientist
MBA,Finance,8.56,"Tableau, SQL","Analytical Skills, Attention to Detail",Ambivert,8-12 LPA,No Certification,I prefer working alone,Read/Write,Maybe,Yes,Financial Analyst
B.A.,Graphic Design,8.01,"Adobe Illustrator, Figma, Adobe Photoshop","Creativity, Attention to Detail",Ambivert,4-8 LPA,Adobe Certified Expert (ACE),I like a mix of both,Kinesthetic,No,No,Graphic Designer
M.Tech,AI & ML,9.1,"Python, TensorFlow, NLP, Computer Vision","Critical Thinking, Research",Introvert,12+ LPA,Deep Learning Specialization,I prefer working alone,Read/Write,Yes,Yes,AI Specialist
MBA,Commerce,8.94,"Financial Modeling, MS Excel, SQL","Analytical Skills, Attention to Detail",Extrovert,8-12 LPA,No Certification,I prefer working alone,Read/Write,No,No,Financial Analyst
M.Tech,Computer Science,9.59,"Computer Vision, NLP, TensorFlow","Critical Thinking, Research",Introvert,12+ LPA,TensorFlow Developer,I prefer working alone,Read/Write,Yes,Yes,AI Specialist
B.Tech,Mechanical Engineering,7.41,"MATLAB, AutoCAD, SolidWorks","Problem-Solving, Teamwork",Ambivert,4-8 LPA,No Certification,I prefer working in a team,Kinesthetic,Yes,Yes,Mechanical Engineer
B.Tech,Computer Science,8.02,"Java, SQL, Python","Problem-Solving, Teamwork",Introvert,8-12 LPA,Coursera - Python for Everybody,I prefer working alone,Kinesthetic,Yes,No,Data Scientist
M.Tech,Computer Science,9.29,"TensorFlow, NLP, PyTorch, Computer Vision","Research, Critical Thinking",Introvert,12+ LPA,TensorFlow Developer,I prefer working alone,Read/Write,Yes,Yes,AI Specialist
B.Tech,Computer Science,8.03,"Python, Java, Git, JavaScript","Teamwork, Problem-Solving",Introvert,8-12 LPA,Coursera - Python for Everybody,I like a mix of both,Visual,Yes,No,Data Scientist
